,SERIAL,SHIFT_WT
70,11020001,
71,11020002,
72,11020003,
73,11020004,
74,11020005,
75,11020006,
76,11020007,
77,11020008,
78,11020009,
79,11020010,
80,11020011,
81,11020012,
82,11020013,
83,11020014,
84,11020015,
85,11020016,
86,11020017,
87,11020018,
88,11020019,
89,11020020,
90,11020021,
91,11020022,
92,11020023,
93,11020024,
94,11020025,
95,11020026,
96,11020027,
97,11020028,
98,11020029,
0,12010001,
1,12010002,
2,12010003,
3,12010004,
4,12010005,
5,12010006,
6,12010007,
7,12010008,
8,12010009,
9,12010010,
10,12010011,
11,12010012,
12,12010013,
13,12010014,
14,12010015,
15,12010016,
16,12010017,
17,12010018,
18,12010019,
19,12010020,
20,12010021,
21,12010022,
22,12010023,
23,12010024,
24,12010025,
25,12010026,
26,12010027,
27,12010028,
28,12010029,
29,12010030,
30,12010031,
31,12010032,
32,12010033,
33,13010001,
34,13010002,
35,13010003,
36,13010004,
37,13010005,
38,13010006,
39,13010007,
40,13010008,
41,13010009,
42,13010010,
43,13010011,
44,13010012,
45,13010013,
46,13010014,
47,13010015,
48,13010016,
49,13010017,
50,13010019,
51,13010020,
52,13010021,
53,13010022,
54,13010023,
55,13010024,
56,13010025,
57,13010026,
58,13010027,
59,13010028,
60,13010029,
61,13010030,
62,13010031,
63,13010032,
64,13010033,
65,13010034,
66,13010035,
67,13010036,
68,13010037,
69,13010038,
